PO Number,Load ID,Load Dest,Load Dest Type,Load Dest Address,Load P/U Window Start,Load P/U Window End,MABD,Carrier PU Date,Carrier Due Date,Carrier Name,Industry SCAC,Mode,Ship Point,Loading Method,Cases,Weight,Cube,Pallets,Event Code,PO Type,Department,Confirmed Date,Held/Suspended,PO Dest
1075650851,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/24/2021,11/24/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,25,154,20,1,POS REPLEN,33,8,11/10/2021,NO,7037
1075880022,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,27,163,20,1,POS REPLEN,33,8,11/10/2021,NO,7037
1275032312,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/24/2021,11/24/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,40,216,40,1,POS REPLEN,33,8,11/10/2021,NO,5555
1324683447,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,54,275,40,1,POS REPLEN,33,8,11/10/2021,NO,5555
1674005347,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/19/2021,11/19/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,50,258,40,1,POS REPLEN,33,8,11/10/2021,NO,5555
1725371602,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,54,275,40,1,POS REPLEN,33,8,11/10/2021,NO,6006
2421549182,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/20/2021,11/20/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,50,258,40,1,POS REPLEN,33,8,11/10/2021,NO,6010
2525171974,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/15/2021,11/15/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,54,275,40,1,POS REPLEN,33,8,11/10/2021,NO,6025
2574952507,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,PALLET,135,611,111,1,POS REPLEN,33,8,11/10/2021,NO,6035
2874862735,91894993,7100,CP,1340 141ST ST HAMMOND IN 46327 US,11/12/2021,11/14/2021,11/14/2021,11/12/2021,11/12/2021,WAL-MART DISP 6869,W-6869,FLEET,47358702,FLOOR,27,163,20,1,POS REPLEN,33,8,11/10/2021,NO,6012
